SSID,HPHM,HPZL,JGSJ,CDBH
HK-107,落P5A825,2,2019/1/1 15:02:04,3
HK-92,落P80404,2,2019/1/1 15:02:25,1
HK-92,釦AB96C9,2,2019/1/1 15:02:19,6
HK-107,落PC9683,2,2019/1/1 15:02:31,2
HK-92,落P80711,2,2019/1/1 15:02:43,8
HK-92,落BYG992,2,2019/1/1 15:02:41,7
HK-92,落PJ8282,2,2019/1/1 15:01:05,2
HK-92,落P28925,2,2019/1/1 15:00:59,2
HK-107,落PA2324,2,2019/1/1 15:01:13,3
HK-107,落P06945,2,2019/1/1 15:01:10,4
HK-92,落PY0061,2,2019/1/1 15:01:13,2
HK-92,落PF7760,2,2019/1/1 15:01:44,9
HK-92,落PG1525,2,2019/1/1 15:01:42,9
HK-92,落P80129,2,2019/1/1 15:01:36,9
HK-93,團GLS246,2,2019/1/1 15:01:46,2
HK-93,落PG009G,2,2019/1/1 15:01:45,3
HK-93,寃G725AJ,2,2019/1/1 15:01:41,8
HK-92,落PM6939,2,2019/1/1 15:00:52,2
HK-93,落PJ1882,2,2019/1/1 15:00:51,5
HK-107,落PWP516,2,2019/1/1 15:00:59,1
HK-107,落P24167,2,2019/1/1 15:01:42,3
HK-92,落PU7603,2,2019/1/1 15:01:59,10
HK-93,落P80751,2,2019/1/1 15:01:52,1
HK-107,落PG1525,2,2019/1/1 15:02:16,3
HK-107,落PK5160,2,2019/1/1 15:02:11,3
HK-93,落P3E551,2,2019/1/1 15:02:26,7
HK-93,落PLL844,2,2019/1/1 15:02:28,1
HK-107,仟F0198少,2,2019/1/1 15:02:44,1
HK-107,落PH2280,2,2019/1/1 15:00:50,2
HK-107,落PY0061,2,2019/1/1 15:00:46,1
HK-93,落P80996,2,2019/1/1 15:01:20,1
HK-92,落PH2280,2,2019/1/1 15:01:26,2
HK-92,落P80803,2,2019/1/1 15:01:46,7
HK-107,落P80339,2,2019/1/1 15:02:04,2
HK-92,落PC3898,2,2019/1/1 15:02:16,10
HK-93,落P80298,2,2019/1/1 15:02:21,1
HK-92,落P80339,2,2019/1/1 15:02:42,3
HK-92,落PWP516,2,2019/1/1 15:02:41,2
HK-92,釦FM71X9,2,2019/1/1 15:02:44,7
HK-92,落PS698Z,2,2019/1/1 15:02:35,6
HK-107,落PL723P,2,2019/1/1 15:02:41,1
HK-107,落PD0165,2,2019/1/1 15:02:38,1
HK-92,落P80601,2,2019/1/1 15:00:48,8
HK-92,落P19114,2,2019/1/1 15:00:41,6
HK-92,概兎,2,2019/1/1 15:00:57,2
HK-93,落P80197,2,2019/1/1 15:01:06,12
HK-107,落P80810,2,2019/1/1 15:01:24,3
HK-93,落PWJ927,2,2019/1/1 15:01:52,2
HK-93,落PD0165,2,2019/1/1 15:01:49,2
HK-93,落PS226X,2,2019/1/1 15:01:50,8
HK-92,落AT903X,2,2019/1/1 15:02:12,10
HK-93,落PE0950,2,2019/1/1 15:02:09,9
HK-107,落P80129,2,2019/1/1 15:02:14,3
HK-107,釦FK237E,2,2019/1/1 15:02:23,2
HK-92,落PW9669,2,2019/1/1 15:02:32,8
HK-93,落PJ8229,2,2019/1/1 15:02:31,1
HK-92,落GRZ878,2,2019/1/1 15:00:51,10
HK-107,落PC263H,2,2019/1/1 15:00:53,2
HK-107,落B9W011,2,2019/1/1 15:00:49,1
HK-93,釦FK237E,2,2019/1/1 15:01:30,4
HK-107,落PF7760,2,2019/1/1 15:02:18,3
HK-107,落PM8573,2,2019/1/1 15:02:29,1
HK-107,落PJC095,2,2019/1/1 15:02:48,2
HK-93,落PZL666,2,2019/1/1 15:01:25,4
HK-93,殺DPT158,2,2019/1/1 15:01:21,10
HK-93,落PWF952,2,2019/1/1 15:01:23,4
HK-92,落P83226,2,2019/1/1 15:11:34,2
HK-92,落PM090Y,2,2019/1/1 15:11:27,2
HK-93,落PD123P,2,2019/1/1 15:11:34,6
HK-92,落P80530,2,2019/1/1 15:11:36,7
HK-93,告MBD839,2,2019/1/1 15:12:11,8
HK-93,落PT5900,2,2019/1/1 15:12:29,3
HK-93,落P80305,2,2019/1/1 15:12:28,9
HK-93,落P80998,2,2019/1/1 15:12:22,10
HK-107,落PJP328,2,2019/1/1 15:12:33,3
HK-107,落P2C499,2,2019/1/1 15:11:04,2
HK-92,落PH6113,2,2019/1/1 15:11:09,8
HK-92,落PD7087,2,2019/1/1 15:11:20,3
HK-93,落PYC990,2,2019/1/1 15:11:25,11
HK-93,落PLW176,2,2019/1/1 15:11:22,12
HK-92,落PV1512,2,2019/1/1 15:11:30,6
HK-93,寃G8193F,2,2019/1/1 15:11:29,6
HK-93,落PF3528,2,2019/1/1 15:11:28,10
HK-107,落PJ5371,2,2019/1/1 15:11:29,1
HK-107,落P08907,2,2019/1/1 15:11:37,3
HK-107,落P80947,2,2019/1/1 15:11:43,3
HK-107,落PH6113,2,2019/1/1 15:11:41,4
HK-92,落PJP328,2,2019/1/1 15:12:01,9
HK-93,落P95270,2,2019/1/1 15:12:00,4
HK-93,落P80228,2,2019/1/1 15:12:02,10
HK-107,概兎,2,2019/1/1 15:12:49,1
HK-92,落P61258,2,2019/1/1 15:11:47,3
HK-93,落PU6753,2,2019/1/1 15:11:53,4
HK-93,落P98828,2,2019/1/1 15:11:53,10
HK-92,落PM6939,2,2019/1/1 15:11:57,7
HK-93,釦B2WG83,2,2019/1/1 15:12:31,3
HK-93,落PW0562,2,2019/1/1 15:12:26,2
HK-107,落P83226,2,2019/1/1 15:10:57,2
HK-93,落PM7068,2,2019/1/1 15:11:28,5
HK-93,落PF3517,2,2019/1/1 15:11:28,12
HK-93,落P80594,2,2019/1/1 15:11:27,11
HK-93,落PU1171,2,2019/1/1 15:11:25,12
HK-92,落P2272僥,2,2019/1/1 15:11:42,2
HK-93,概兎,2,2019/1/1 15:11:45,11
HK-93,落PP5H55,2,2019/1/1 15:12:29,8
HK-107,落P9D027,2,2019/1/1 15:12:32,3
HK-92,落PTW303,2,2019/1/1 15:12:41,6
HK-92,落PE5107,2,2019/1/1 15:10:54,6
HK-92,落PW622W,2,2019/1/1 15:11:23,3
HK-92,落PW1807,2,2019/1/1 15:11:16,1
HK-92,落P80567,2,2019/1/1 15:11:24,10
HK-93,落PV1598,2,2019/1/1 15:11:13,11
HK-107,落PK3165,2,2019/1/1 15:11:33,1
HK-92,落P80400,2,2019/1/1 15:11:59,9
HK-92,落PS0316,2,2019/1/1 15:11:58,10
HK-93,概兎,2,2019/1/1 15:11:56,10
HK-93,落P99994,2,2019/1/1 15:12:13,2
HK-93,落PPS456,2,2019/1/1 15:12:14,8
HK-93,落PA8046,1,2019/1/1 15:12:11,9
HK-107,落P80576,2,2019/1/1 15:11:02,2
